코스트센터,비용_코스트센터명,표시명,인원수
F00000,공통_공통,공통_공통,없음
F00100,공통_임원,임원,
F00200,공통_경영개선팀,경영개선팀,
F00300,공통_총무,총무/비서팀,
F00400,공통_법무팀,법무팀,
F00500,공통_HR팀,HR팀,
F00600,공통_공간기획팀,공간기획팀,
F00700,공통_회계팀,회계팀,
F00800,공통_경영관리팀,경영관리팀,
F00900,공통_디지털본부담당,IT부문,
F01200,공통_e-BIZ팀,e-BIZ팀,
F01300,공통_IT팀,IT부문,
F01800,공통_소비자전략팀,소비자전략팀,
F01900,공통_Process팀,Process부문,
F02300,공통_안전보건팀,안전보건팀,
F02400,공통_경영기획팀,경영기획팀,
F02500,공통_자금팀,자금팀,
F02600,공통_정보보안팀,정보보안팀,
F02700,공통_Process담당,Process부문,
F02900,공통_AX팀,Process부문,
F03000,공통_AI 엔지니어링팀,Process부문,
F03200,공통_PI팀,Process부문,
F03201,공통_프로세스팀,Process부문,
F03300,공통_무역팀,무역팀,
F03400,공통_자산관리팀,자산관리팀,
F03500,[CLSD]공통_콘텐츠담당,[CLSD]공통_콘텐츠담당,없음
F03600,공통_사업운영지원담당,공통_사업운영지원담당,없음
F03700,공통_통합인테리어팀,통합인테리어팀,
F03800,공통_운영전략팀,공통_운영전략팀,없음
F03900,공통_퍼포먼스마케팅팀,퍼포먼스마케팅팀,
F04000,공통_글로벌슈즈팀,공통_글로벌슈즈팀,
F04200,[CLSD]공통_통합마케팅팀,마케팅본부,
F04300,공통_통합영업소싱담당,공통_통합영업소싱담당,
F04400,공통_통합영업팀,통합영업팀,
F04500,공통_통합소싱팀,통합소싱팀,
F04600,[CLSD]공통_통합영업팀,[CLSD]공통_통합영업팀,없음
F04700,[CLSD]공통_통합소싱팀,[CLSD]공통_통합소싱팀,없음
F04800,공통_해외사업팀,해외사업팀,
F04900,[CLSD]공통_통합인플루언서마케팅팀,마케팅본부,
F05000,[CLSD]공통_디지털콘텐츠팀,[CLSD]공통_디지털콘텐츠팀,없음
F05100,공통_마케팅본부,마케팅본부,
F05200,공통_통합온라인채널팀,통합온라인채널팀,
